src,dest
Antoine de Rivarol,François-René de Chateaubriand
Antoine de Rivarol,Charles Baudelaire
Antoine de Rivarol,Léon Bloy
Robert Desnos,Tristan Tzara
Michel Leiris,Robert Desnos
Louis Aragon,Robert Desnos
Francis Picabia,Robert Desnos
René Daumal,Robert Desnos
Antonin Artaud,Robert Desnos
Paul Éluard,Robert Desnos
Alfred Jarry,Robert Desnos
Jacques Prévert,Robert Desnos
Julien Gracq,Robert Desnos
Francis Ponge,Robert Desnos
Guillaume Apollinaire,Robert Desnos
Philippe Soupault,Robert Desnos
Arthur Rimbaud,Robert Desnos
André Breton,Robert Desnos
Charles Baudelaire,Robert Desnos
Raymond Queneau,Robert Desnos
Pierre Reverdy,Robert Desnos
Christine de Pizan,Guillaume de Machaut
Chrétien de Troyes,Guillaume de Machaut
Marcel Proust,Robert Desnos
Marcel Proust,Paul Valéry
Marcel Proust,Tristan Tzara
Elsa Triolet,Marcel Proust
Francis Picabia,Marcel Proust
Blaise Cendrars,Marcel Proust
Antonin Artaud,Marcel Proust
Anatole France,Marcel Proust
Jean Lorrain,Marcel Proust
Marcel Proust,Paul Éluard
Alfred Jarry,Marcel Proust
Julien Gracq,Marcel Proust
Marcel Proust,Maurice Maeterlinck
Marcel Proust,Maurice Genevoix
Marcel Proust,Max Jacob
Marcel Proust,Robert de Montesquiou
Marcel Proust,Tahar Ben Jelloun
Guillaume Apollinaire,Marcel Proust
Jean Cocteau,Marcel Proust
Georges Duhamel,Marcel Proust
Jacques Laurent,Marcel Proust
Marcel Proust,Stéphane Mallarmé
Hervé Le Tellier,Marcel Proust
Marcel Proust,Éric Vuillard
André Breton,Marcel Proust
Marcel Proust,René Maran
Béatrix Beck,Marcel Proust
Blaise Cendrars,Philippe Léotard
Léo Ferré,Philippe Léotard
Anatole France,Paul Valéry
Paul Valéry,Stéphane Mallarmé
Alphonse de Lamartine,Théophile Gautier
Alphonse de Lamartine,Paul Verlaine
Alphonse de Lamartine,Frédéric Mistral
Alphonse de Lamartine,Victor Hugo
Alphonse de Lamartine,Gérard de Nerval
Aloysius Bertrand,Alphonse de Lamartine
Alphonse de Lamartine,Voltaire
Alphonse de Lamartine,Edgar Quinet
Alfred de Musset,Alphonse de Lamartine
Alfred de Vigny,Alphonse de Lamartine
Alphonse de Lamartine,Charles Nodier
Alphonse de Lamartine,François-René de Chateaubriand
Alphonse de Lamartine,Charles Baudelaire
Paul Verlaine,Tristan Corbière
Charles Baudelaire,Tristan Corbière
Paul Déroulède,Victor Hugo
Abel Bonnard,Paul Déroulède
Paul Déroulède,Robert Brasillach
Paul Valéry,Tristan Tzara
Tristan Corbière,Tristan Tzara
Michel Leiris,Tristan Tzara
Louis Aragon,Tristan Tzara
Elsa Triolet,Tristan Tzara
Isidore Isou,Tristan Tzara
Francis Picabia,Tristan Tzara
René Daumal,Tristan Tzara
Antonin Artaud,Tristan Tzara
René Char,Tristan Tzara
Paul Éluard,Tristan Tzara
Alfred Jarry,Tristan Tzara
Jules Laforgue,Tristan Tzara
Raymond Radiguet,Tristan Tzara
Jacques Prévert,Tristan Tzara
Julien Gracq,Tristan Tzara
Maurice Maeterlinck,Tristan Tzara
François Villon,Tristan Tzara
Francis Ponge,Tristan Tzara
Guillaume Apollinaire,Tristan Tzara
Jean Cocteau,Tristan Tzara
Philippe Soupault,Tristan Tzara
Arthur Rimbaud,Tristan Tzara
André Breton,Tristan Tzara
Charles Baudelaire,Tristan Tzara
Raymond Queneau,Tristan Tzara
Pierre Reverdy,Tristan Tzara
Jean Amrouche,Taos Amrouche
Louis Aragon,Michel Leiris
Michel Leiris,René Daumal
Antonin Artaud,Michel Leiris
Michel Leiris,Paul Éluard
Alfred Jarry,Michel Leiris
Jacques Prévert,Michel Leiris
Julien Gracq,Michel Leiris
Francis Ponge,Michel Leiris
Max Jacob,Michel Leiris
Guillaume Apollinaire,Michel Leiris
Michel Leiris,Philippe Soupault
André Breton,Michel Leiris
Michel Leiris,Raymond Queneau
Michel Leiris,Pierre Reverdy
Marcel Proust,Théophile Gautier
Judith Gautier,Théophile Gautier
Paul Verlaine,Théophile Gautier
Théophile Gautier,Victor Hugo
Anatole France,Théophile Gautier
Gérard de Nerval,Théophile Gautier
Aloysius Bertrand,Théophile Gautier
François Villon,Théophile Gautier
Edgar Quinet,Théophile Gautier
Alfred de Musset,Théophile Gautier
Alfred de Vigny,Théophile Gautier
Charles-Augustin Sainte-Beuve,Théophile Gautier
Charles Nodier,Théophile Gautier
François-René de Chateaubriand,Théophile Gautier
Charles Baudelaire,Théophile Gautier
François Coppée,Théodore Botrel
Edmond Rostand,Théodore Botrel
Anatole Le Braz,Théodore Botrel
François de Malherbe,Théophile de Viau
Louis Aragon,Édouard Glissant
Aimé Césaire,Édouard Glissant
René Depestre,Édouard Glissant
Michel Butor,Édouard Glissant
Alain Mabanckou,Édouard Glissant
Catulle Mendès,Judith Gautier
